,factor,sigma,std
2241,1.4522222222222223,0.17151515151515154,0.2074540895692733
2242,1.4522222222222223,0.17545454545454547,0.21703373981148774
2243,1.4522222222222223,0.1793939393939394,0.2157883609984205
2244,1.4522222222222223,0.18333333333333335,0.2226287541783336
2245,1.4522222222222223,0.18727272727272729,0.2272237601858805
2246,1.4522222222222223,0.19121212121212122,0.23004625764940212
2247,1.4522222222222223,0.19515151515151516,0.24842095319059138
2248,1.4522222222222223,0.1990909090909091,0.2601800146092324
2249,1.4522222222222223,0.20303030303030306,0.28043340186162086
2250,1.4522222222222223,0.206969696969697,0.2777535534803789
2251,1.4522222222222223,0.21090909090909093,0.2835466712576629
2252,1.4522222222222223,0.21484848484848487,0.28234383591642426
2253,1.4522222222222223,0.2187878787878788,0.2940840623458828
2254,1.4522222222222223,0.22272727272727275,0.3036001725246347
2255,1.4522222222222223,0.22666666666666668,0.30687189832522543
2256,1.4522222222222223,0.23060606060606062,0.3216469917812559
2257,1.4522222222222223,0.23454545454545456,0.3096759267115454
2258,1.4522222222222223,0.2384848484848485,0.3510525076547228
2259,1.4522222222222223,0.24242424242424246,0.3583787429263918
2260,1.4522222222222223,0.2463636363636364,0.35799031958813826
2261,1.4522222222222223,0.2503030303030303,0.38480771389157087
2262,1.4522222222222223,0.25424242424242427,0.37538724445366206
2263,1.4522222222222223,0.2581818181818182,0.36055151861623536
2264,1.4522222222222223,0.26212121212121214,0.40858951001382815
2265,1.4522222222222223,0.2660606060606061,0.4018666258580851
2266,1.4522222222222223,0.27,0.42067623737237747
2267,1.4522222222222223,0.273939393939394,0.4202287243785027
2268,1.4522222222222223,0.2778787878787879,0.3939467436057503
2269,1.4522222222222223,0.28181818181818186,0.4554503614489385
2270,1.4522222222222223,0.28575757575757577,0.42673889183636454
2271,1.4522222222222223,0.28969696969696973,0.4587550227600052
2272,1.4522222222222223,0.29363636363636364,0.4862758092142474
2273,1.4522222222222223,0.2975757575757576,0.5286335991356041
2274,1.4522222222222223,0.3015151515151515,0.4818668914522128
2275,1.4522222222222223,0.3054545454545455,0.5016378607310753
2276,1.4522222222222223,0.30939393939393944,0.5045151727251322
2277,1.4522222222222223,0.31333333333333335,0.5369721387919535
2278,1.4522222222222223,0.3172727272727273,0.5140256506324169
2279,1.4522222222222223,0.3212121212121212,0.5715872398486953
2280,1.4522222222222223,0.3251515151515152,0.5746801268907358
2281,1.4522222222222223,0.3290909090909091,0.5388546682299311
2282,1.4522222222222223,0.33303030303030307,0.5746111834758181
2283,1.4522222222222223,0.336969696969697,0.7104676800654229
2284,1.4522222222222223,0.34090909090909094,0.6807101343200693
2285,1.4522222222222223,0.34484848484848485,0.61179074060334
2286,1.4522222222222223,0.3487878787878788,0.6494674663169299
